OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
43797,San Bruno Ave&Woolsey St W-NS/BZ,SBROWLS0,SBROWLSY,6372,37.72531,-122.40275,0,WOOLSEY ST,SAN BRUNO AVE,NS,NW,BZ,0,20230512124615,14817951,141,None,POINT (-122.40275 37.72531),91,91,2,2,25
42700,Prague St&Russia Ave E-FS,PRAGRUS1,PRAGRUSS,6084,37.71756,-122.4282,0,RUSSIA AVE,PRAGUE ST,FS,EA,FL,0,20230512124615,14815348,141,None,POINT (-122.4282 37.71756),90,90,9,1,7
42505,California St&Stockton St S-MI,CALISTO1,CALISTOK,3900,37.792184,-122.407529,0,STOCKTON ST,CALIFORNIA ST,MI,SO,None,0,20230512124615,14816646,141,None,POINT (-122.40753 37.792183),16,16,6,3,21
41829,Geneva Ave&Madrid St N-FS/BZ,GNVAMAD0,GNVAMADR,4884,37.715143,-122.438034,0,MADRID ST,GENEVA AVE,FS,NO,BZ,0,20230512124615,14811422,141,None,POINT (-122.438034 37.71514),90,90,9,1,7
40854,18th St&Sanchez St NE-NS/BZ,18STSNC1,18STSNCZ,3344,37.761228,-122.430464,0,SANCHEZ ST,18TH ST,NS,NE,BZ,0,20230512124615,14808689,141,None,POINT (-122.430466 37.761227),37,37,3,5,5
40919,Chestnut St&Fillmore St SW-NS/BZ,CHESFIL1,CHESFILL,3942,37.800738,-122.436371,0,FILLMORE ST,CHESTNUT ST,NS,SW,BZ,0,20230512124615,14809060,141,None,POINT (-122.43637 37.80074),17,17,4,6,13
41010,20th Ave&Winston Dr SE-NS/SB,20AVWIN1,20AVWINS,3408,37.726874,-122.475945,0,WINSTON DR,20TH AVE,NS,SE,None,0,20230512124615,14808918,141,None,POINT (-122.475945 37.726875),41,41,10,8,16
42984,Montgomery Station Outbound,MTGY ST0,MTGY STA,6994,37.788791,-122.402127,0,METRO TUNNEL,MONTGOMERY STATION,None,None,None,0,20230512124615,14817131,141,None,POINT (-122.40213 37.78879),19,19,6,3,8
42005,Mason St&Union St E-MI,MASNUNI0,MASNUNIN,5368,37.800037,-122.412397,0,UNION ST,MASON ST,MI,EA,None,0,20230512124615,14812192,141,None,POINT (-122.4124 37.800037),107,107,6,3,6
40920,Broad St&Orizaba Ave NE-NS/PS,BRODORI1,BRODORIZ,3717,37.713178,-122.462331,0,ORIZABA AVE,BROAD ST,NS,NE,None,0,20230512124615,14809160,141,None,POINT (-122.46233 37.713177),81,81,10,1,24
42573,Fillmore St&Geary Blvd NE-FS/BZ,FILLGEA1,FILLGEAR,4614,37.784733,-122.432921,0,GEARY BLVD,FILLMORE ST,FS,NE,BZ,1,20230512124615,14813698,141,None,POINT (-122.43292 37.784733),101,101,4,11,15
41361,Fulton St&33RD Ave NW-FS/PS,FULT33A0,FULT33AV,4211,37.77223,-122.49318,0,33RD AVE,FULTON ST,FS,NW,FL,0,20230512124615,14810136,141,None,POINT (-122.49318 37.77223),8,8,8,4,29
42547,Mission St&Silver Ave W-FS/BZ,MISSSIL0,MISSSILV,5621,37.728723,-122.431354,0,SILVER AVE,MISSION ST,FS,WE,BZ,1,20230512124615,14818239,141,None,POINT (-122.43135 37.72872),94,94,9,1,28
43275,Mission St&Whittier St S-NS/BZ,MISSWHI1,MISSWHIT,5628,37.71022,-122.44845,0,WHITTIER ST,MISSION ST,NS,SO,BZ,1,20230512124615,14815889,141,None,POINT (-122.44845 37.71022),58,58,9,1,7
43416,Phelps St&Carroll Ave W-FS,PHLPCAR0,PHLPCARR,5931,37.72912,-122.40101,0,CARROLL AVE,PHELPS ST,FS,WE,FL,0,20230512124615,14817568,141,None,POINT (-122.40101 37.72912),87,87,2,9,1
40731,8th St&Bryant St W-NS/BZ,.8STBRY0,8STBRYT,3204,37.772447,-122.406932,0,BRANNAN ST,08TH ST,NS,WE,BZ,0,20230512124615,14808462,141,None,POINT (-122.40693 37.772446),33,33,1,10,34
40643,19th Ave&Randolph St N-FS/PS,19AVRND1,19AVRNDO,3385,37.714856,-122.470249,0,CHESTER AVE,19TH AVE,FS,NO,None,0,20230512124615,14808079,141,None,POINT (-122.470245 37.714855),65,65,10,1,24
42029,Mission St&Cortland Ave E-FS/BZ,MISSCOR1,MISSCORT,5583,37.741052,-122.422759,0,CORTLAND AVE,MISSION ST,FS,EA,BZ,0,20230512124615,14812320,141,None,POINT (-122.42276 37.74105),83,83,9,2,2
42977,San Jose Ave&Mt Vernon Ave N-NS/SB,S J MTVN,S J MTVN,7111,37.71847,-122.44864,0,MT VERNON AVE,SAN JOSE AVE,NS,NO,SI,0,20230512124615,14815626,141,None,POINT (-122.44864 37.71847),81,81,10,1,24
43408,Northridge Rd&Dormitory Rd W-NS,NRDGDOR0,NRDGDORM,5766,37.73025,-122.37448,0,DORMITORY RD,NORTHRIDGE RD,NS,WE,FL,0,20230512124615,14817556,141,None,POINT (-122.37448 37.73025),78,78,2,9,1
43110,9th Ave&Moraga St NW-NS/BZ,.9AVMOR0,9AVMORA,3222,37.756677,-122.465884,0,MORAGA ST,9TH AVE,NS,NW,BZ,0,20230512124615,14818841,141,None,POINT (-122.46588 37.756676),44,44,10,8,14
